image,lowRatio,highRatio,P,R,F1,ms
157036,0.5,1.5,0.303622,0.850431,0.447483,2.28179
157036,0.55,1.6,0.318199,0.837186,0.461131,2.67238
157036,0.6,1.7,0.337054,0.828127,0.479108,2.47733
157036,0.6,1.8,0.346479,0.812383,0.485776,1.75979
157036,0.65,1.85,0.356713,0.803261,0.494034,1.96429
157036,0.7,1.9,0.372919,0.792015,0.50708,1.55908
187029,0.5,1.5,0.378043,0.672814,0.484086,0.792292
187029,0.55,1.6,0.39645,0.657153,0.494548,0.463417
187029,0.6,1.7,0.414717,0.631833,0.500754,1.40387
187029,0.6,1.8,0.446463,0.624003,0.52051,0.541417
187029,0.65,1.85,0.468313,0.60783,0.529028,0.991
187029,0.7,1.9,0.470472,0.59056,0.52372,0.383833
71046,0.5,1.5,0.514591,0.91145,0.657799,1.02792
71046,0.55,1.6,0.53964,0.897103,0.673903,0.548
71046,0.6,1.7,0.556533,0.860242,0.675835,0.676583
71046,0.6,1.8,0.55866,0.843973,0.672299,0.611375
71046,0.65,1.85,0.574695,0.819399,0.675571,0.477625
71046,0.7,1.9,0.597597,0.802169,0.684934,0.571916
299091,0.5,1.5,0.391903,0.343633,0.366184,0.442917
299091,0.55,1.6,0.405276,0.308778,0.350507,0.405834
299091,0.6,1.7,0.470641,0.280231,0.351293,0.322041
299091,0.6,1.8,0.49886,0.257351,0.33954,0.288042
299091,0.65,1.85,0.538123,0.248263,0.339772,0.286417
299091,0.7,1.9,0.573206,0.231477,0.329779,0.286875
242078,0.5,1.5,0.803992,0.712056,0.755236,0.872291
242078,0.55,1.6,0.833468,0.686503,0.752881,0.830834
242078,0.6,1.7,0.851103,0.666789,0.747755,1.16892
242078,0.6,1.8,0.868995,0.656515,0.747957,0.545
242078,0.65,1.85,0.880187,0.633965,0.737056,0.668708
242078,0.7,1.9,0.881329,0.626526,0.732399,0.574167
232038,0.5,1.5,0.521945,0.77865,0.624964,0.792666
232038,0.55,1.6,0.541904,0.763853,0.634015,0.479125
232038,0.6,1.7,0.563076,0.72809,0.635038,0.410541
232038,0.6,1.8,0.562062,0.716408,0.629918,0.817167
232038,0.65,1.85,0.573589,0.699934,0.630494,0.429042
232038,0.7,1.9,0.577268,0.667525,0.619124,0.391375
173036,0.5,1.5,0.250033,0.719615,0.37112,0.664917
173036,0.55,1.6,0.259149,0.691231,0.376969,0.569917
173036,0.6,1.7,0.271703,0.667846,0.386262,0.616875
173036,0.6,1.8,0.282077,0.666462,0.396386,0.640458
173036,0.65,1.85,0.285461,0.644154,0.395606,0.501958
173036,0.7,1.9,0.28875,0.612462,0.392468,0.504416
198054,0.5,1.5,0.276135,0.941812,0.427059,0.680125
198054,0.55,1.6,0.280034,0.923828,0.429789,0.5865
198054,0.6,1.7,0.281006,0.889209,0.427055,0.81425
198054,0.6,1.8,0.283409,0.878652,0.42858,0.683667
198054,0.65,1.85,0.285909,0.849619,0.427843,0.746958
198054,0.7,1.9,0.290646,0.839737,0.431829,0.604208
388016,0.5,1.5,0.593429,0.753174,0.663826,0.501083
388016,0.55,1.6,0.624682,0.727094,0.672009,0.526917
388016,0.6,1.7,0.657895,0.689833,0.673485,0.550125
388016,0.6,1.8,0.672484,0.670841,0.671662,0.5335
388016,0.65,1.85,0.705004,0.646207,0.674326,0.573541
388016,0.7,1.9,0.729752,0.605746,0.661992,0.4565
292066,0.5,1.5,0.265857,0.738372,0.39095,0.688125
292066,0.55,1.6,0.275053,0.700904,0.39507,0.619791
292066,0.6,1.7,0.278809,0.655814,0.391274,0.526459
292066,0.6,1.8,0.28934,0.642119,0.398924,0.555125
292066,0.65,1.85,0.301581,0.592894,0.3998,10.4344
292066,0.7,1.9,0.311103,0.573773,0.403452,1.46412
189011,0.5,1.5,0.626321,0.47673,0.541382,0.682333
189011,0.55,1.6,0.655798,0.445861,0.530827,0.576333
189011,0.6,1.7,0.667633,0.384244,0.487764,0.392625
189011,0.6,1.8,0.693422,0.379417,0.490467,0.331917
189011,0.65,1.85,0.698786,0.363447,0.478184,0.322167
189011,0.7,1.9,0.712688,0.338061,0.458591,0.307333
59078,0.5,1.5,0.379665,0.86513,0.527733,0.57475
59078,0.55,1.6,0.381267,0.847123,0.52586,0.5315
59078,0.6,1.7,0.385459,0.832213,0.526881,0.447042
59078,0.6,1.8,0.387326,0.816621,0.525436,0.549917
59078,0.65,1.85,0.388076,0.803759,0.523428,0.432667
59078,0.7,1.9,0.391327,0.793522,0.524162,0.472584
108041,0.5,1.5,0.271376,0.778478,0.402456,0.817292
108041,0.55,1.6,0.277867,0.735145,0.403297,0.581459
108041,0.6,1.7,0.282488,0.689079,0.400706,0.513833
108041,0.6,1.8,0.289713,0.658268,0.402347,0.469708
108041,0.65,1.85,0.293375,0.643925,0.403097,0.448
108041,0.7,1.9,0.291519,0.60985,0.394473,0.467625
66075,0.5,1.5,0.478061,0.647141,0.549897,0.307834
66075,0.55,1.6,0.504057,0.631083,0.560463,0.318
66075,0.6,1.7,0.509988,0.602409,0.552359,0.269291
66075,0.6,1.8,0.528569,0.577503,0.551954,0.272
66075,0.65,1.85,0.557975,0.548009,0.552947,0.295292
66075,0.7,1.9,0.572031,0.533508,0.552098,0.2445
20008,0.5,1.5,0.38224,0.630523,0.475948,0.374416
20008,0.55,1.6,0.389352,0.613034,0.476236,0.549084
20008,0.6,1.7,0.385595,0.575908,0.461917,0.517459
20008,0.6,1.8,0.395485,0.566581,0.465819,0.478458
20008,0.65,1.85,0.40147,0.54633,0.46283,0.544
20008,0.7,1.9,0.398556,0.504602,0.445353,0.408875
370036,0.5,1.5,0.752865,0.802197,0.776748,0.465584
370036,0.55,1.6,0.778083,0.766117,0.772054,0.522875
370036,0.6,1.7,0.798837,0.725602,0.76046,0.424
370036,0.6,1.8,0.805302,0.695649,0.74647,0.507625
370036,0.65,1.85,0.819348,0.655513,0.728331,0.449084
370036,0.7,1.9,0.824864,0.617237,0.706104,0.420209
41025,0.5,1.5,0.224512,0.906543,0.359893,0.991458
41025,0.55,1.6,0.235264,0.897082,0.372768,0.567375
41025,0.6,1.7,0.244697,0.883938,0.383289,0.58525
41025,0.6,1.8,0.248774,0.872237,0.387133,0.705833
41025,0.65,1.85,0.259758,0.858876,0.39888,0.534375
