image,P,R,F1,ms
157036,0.328598,0.928424,0.485399,2.3175
187029,0.402096,0.822041,0.540037,0.822458
71046,0.595582,0.982687,0.741662,0.893958
299091,0.396366,0.396702,0.396534,0.501084
242078,0.832057,0.869996,0.850604,0.834458
232038,0.560776,0.941736,0.70296,0.75675
173036,0.292186,0.816953,0.430428,0.815792
198054,0.306734,0.994359,0.468843,1.16179
388016,0.829998,0.898986,0.863115,1.01708
292066,0.29151,0.882114,0.438207,1.06604
189011,0.650966,0.515216,0.57519,0.584375
59078,0.438031,0.960853,0.601741,1.16021
108041,0.297052,0.847779,0.43995,1.06462
66075,0.46034,0.839633,0.594653,0.701875
20008,0.424356,0.792054,0.552631,0.994708
370036,0.769406,0.932837,0.843276,1.09671
41025,0.278095,0.956539,0.430912,1.10725
207056,0.202228,0.997263,0.336267,1.20383
314016,0.385994,0.988177,0.555143,0.803583
188091,0.670791,0.980612,0.796639,0.592667
56028,0.636097,0.979069,0.771169,0.967875
134008,0.220462,0.976083,0.359684,1.18158
153093,0.663887,0.920771,0.771507,0.89075
54005,0.359582,0.973793,0.525222,1.30662
65019,0.568474,0.948439,0.710868,0.703208
176039,0.189342,0.973124,0.317004,0.89025
187003,0.402387,0.942808,0.564043,1.12392
61086,0.394567,0.961808,0.559576,0.984542
147021,0.269625,0.91983,0.417013,0.643208
353013,0.312395,0.994103,0.475397,1.08754
317080,0.466258,0.998904,0.635761,1.36
28096,0.319048,0.854035,0.464551,0.947375
35010,0.695452,0.967494,0.809221,1.11117
151087,0.349221,0.889765,0.501579,1.00796
254033,0.231632,0.964789,0.373574,0.893833
189003,0.524009,0.958056,0.677473,1.00667
144067,0.30465,0.887112,0.453544,0.836209
33066,0.686451,0.812795,0.744299,0.744292
138032,0.296401,0.975064,0.454609,1.04438
15088,0.183448,0.867421,0.302847,0.782292
249061,0.513989,0.792311,0.6235,0.572541
68077,0.524566,0.940619,0.673522,1.00825
368078,0.579364,0.98087,0.728456,0.878
187039,0.204008,0.991794,0.338407,1.21475
87065,0.376301,0.997966,0.546525,1.37071
216066,0.366669,0.982185,0.533989,1.18663
43083,0.503433,0.982005,0.665627,1.13929
372047,0.694688,0.980038,0.813053,0.987458
227046,0.452739,0.950352,0.613305,0.966916
15004,0.560113,0.955818,0.70632,0.91225
236017,0.385439,0.968398,0.551409,1.35613
310007,0.405273,0.931929,0.564889,0.889
198023,0.207769,0.87242,0.335611,1.02675
22093,0.534041,0.961693,0.686731,0.823042
106025,0.40014,0.419181,0.409439,0.784583
202012,0.36611,0.997141,0.535578,1.40096
159045,0.506817,0.986785,0.669682,1.26529
376020,0.36787,0.890885,0.520721,1.17342
124084,0.748621,0.973737,0.846467,1.07867
254054,0.271287,0.968911,0.423889,1.29662
25098,0.685967,0.946654,0.795498,1.11338
8049,0.692881,0.868471,0.770802,0.958917
104022,0.507036,0.885188,0.644756,0.951167
238011,0.989861,0.997471,0.993652,0.639916
285036,0.599847,0.860987,0.707076,0.878917
65132,0.344596,0.87799,0.494937,1.01796
326038,0.195042,0.987082,0.325723,1.1915
22090,0.787348,0.767264,0.777177,0.757042
159091,0.346861,0.918477,0.503555,1.14779
76002,0.495474,0.973353,0.656675,1.02879
227040,0.63505,0.850847,0.727279,0.873375
145053,0.537916,0.951184,0.687203,0.915083
374020,0.622189,0.890371,0.732505,1.08917
46076,0.593057,0.821335,0.688774,0.686084
100080,0.646196,0.30485,0.414266,0.953209
113016,0.406397,0.972519,0.573245,1.04971
134052,0.213302,0.667027,0.323239,1.17813
311068,0.216029,0.932382,0.350783,1.36862
239096,0.501045,0.727575,0.593426,0.89375
187071,0.528185,0.973065,0.684707,0.723292
16052,0.384614,0.938188,0.545569,1.19112
94079,0.179757,0.960955,0.302861,1.25083
311081,0.220653,0.978852,0.360127,1.30471
118035,0.939195,0.835965,0.884578,0.659041
130034,0.177652,0.995466,0.301498,1.31633
138078,0.75841,0.949332,0.843199,0.902667
35070,0.784681,0.956463,0.862098,0.812667
35058,0.414558,0.654504,0.507603,0.928791
260081,0.36096,0.906673,0.516353,1.22442
246053,0.606519,0.870121,0.714792,0.820417
26031,0.133656,0.939145,0.234009,1.24233
67079,0.682998,0.932201,0.788375,0.872375
164074,0.215572,0.896336,0.347556,1.0445
95006,0.277261,0.948432,0.429085,1.27742
27059,0.630632,0.954315,0.759421,1.08167
66039,0.305388,0.897414,0.455702,1.32746
112082,0.234739,0.912992,0.373459,1.24988
140075,0.505852,0.928096,0.654806,0.979416
106020,0.251075,0.955721,0.397678,1.04904
97017,0.678846,0.750789,0.713007,0.906334
302003,0.832414,0.885214,0.858002,0.998625
118020,0.59807,0.938439,0.730555,0.818834
365073,0.564743,0.989589,0.719104,1.10729
178054,0.15184,0.845566,0.257449,0.793292
216053,0.608265,0.928972,0.735164,0.874709
268002,0.41252,0.903708,0.566464,0.904208
368016,0.401965,0.96384,0.567328,1.03371
117054,0.473426,0.893838,0.618997,0.892542
277095,0.446919,0.987751,0.615396,0.897792
274007,0.53625,0.963034,0.688898,1.32004
385028,0.640243,0.870747,0.737913,0.936458
48055,0.454533,0.782885,0.575145,1.07325
286092,0.937439,0.486802,0.640829,0.68475
23025,0.552098,0.876958,0.677604,0.784834
24004,0.611739,0.89647,0.727228,0.918916
323016,0.644219,0.937947,0.763818,0.942916
271008,0.725324,0.863584,0.788439,0.73475
376001,0.59556,0.965624,0.736732,0.908042
187083,0.46751,0.935699,0.623497,1.01612
161062,0.733986,0.733537,0.733761,0.864542
188005,0.405777,0.92777,0.564611,0.903417
100098,0.567162,0.987982,0.720635,1.20471
135037,0.732805,0.864927,0.793403,0.878792
309004,0.258882,0.993667,0.41075,1.03325
169012,0.265605,0.829139,0.402328,1.09071
231015,0.561539,0.982129,0.714537,0.836083
166081,0.514634,0.910629,0.65762,1.11742
271031,0.628673,0.609101,0.618732,0.565208
216041,0.37372,0.768765,0.502944,1.18704
181018,0.494024,0.817399,0.615842,1.04621
163062,0.376059,0.925296,0.534775,0.999084
35091,0.438414,0.996701,0.608966,1.37446
198004,0.596733,0.759491,0.668346,0.821958
196015,0.492813,0.886923,0.633581,0.938791
172032,0.819096,0.673637,0.739279,0.653833
12003,0.469872,0.967017,0.632442,1.08246
147062,0.354875,0.972959,0.520063,1.26196
105053,0.554314,0.806191,0.656937,1.10337
43070,0.215181,1,0.354155,1.12833
65074,0.639252,0.839602,0.725856,0.982375
78019,0.596748,0.921039,0.724249,0.814583
140055,0.333047,0.971823,0.496085,1.20533
100075,0.392725,0.871302,0.541416,0.84175
113009,0.522279,0.973667,0.679871,1.17954
155060,0.424844,0.9589,0.588813,1.20158
60079,0.665176,0.397116,0.497325,0.624333
23084,0.421943,0.925962,0.579719,0.814625
249087,0.316149,0.952876,0.474776,1.02196
183087,0.371925,0.926177,0.530727,0.992417
45077,0.260307,0.91067,0.404882,1.09621
22013,0.648296,0.987567,0.78275,0.946125
209070,0.586498,0.821051,0.684231,0.851125
55067,0.959796,0.458583,0.620633,0.384792
245051,0.71024,0.934133,0.806944,0.73025
239007,0.86082,0.623632,0.723277,0.764459
176019,0.350613,0.96937,0.514967,1.14767
8143,0.522553,0.999401,0.686276,1.11954
103041,0.364926,0.895812,0.518593,1.27558
145014,0.601915,0.90798,0.723927,0.751166
113044,0.34655,0.934277,0.50557,1.335
374067,0.329138,0.746864,0.456916,1.02658
41004,0.466366,0.913324,0.617448,0.863417
109034,0.183707,0.888224,0.304447,1.41254
35008,0.756736,0.530523,0.623753,0.579292
246016,0.599135,0.61006,0.604548,0.673125
135069,0.984671,0.999542,0.992051,0.334458
225017,0.283486,0.972958,0.439049,1.12367
361084,0.66114,0.963497,0.784183,1.07433
61060,0.226716,0.972092,0.36768,0.918167
253036,0.992154,0.740881,0.848301,0.611792
65010,0.505118,0.93115,0.654949,0.947292
105019,0.548169,0.938195,0.69201,0.718625
90076,0.565659,0.958921,0.711569,0.81275
42078,0.318239,0.954117,0.477283,1.02163
42044,0.428639,0.942796,0.589337,0.799792
156079,0.425121,0.918862,0.581298,1.13088
188063,0.390327,0.783627,0.521095,0.778667
126039,0.823199,0.478502,0.605212,0.631333
28075,0.454834,0.699855,0.551348,0.643209
55075,0.414722,0.985202,0.583724,0.971875
122048,0.429792,0.923636,0.586616,0.891375
163014,0.469945,0.866369,0.609356,0.825625
181091,0.312267,0.946191,0.469566,1.24779
170054,0.58485,0.884092,0.703991,0.82575
301007,0.532542,0.899719,0.669066,1.25825
12074,0.408562,0.838104,0.549333,1.12696
247085,0.494647,0.760495,0.599417,0.82775
293029,0.331195,0.90371,0.484741,1.04629
176035,0.616205,0.828362,0.706704,0.968083
80099,0.420002,0.676072,0.518125,0.88075
159029,0.361052,0.960374,0.524804,1.11204
24063,0.90991,0.586811,0.713487,0.376875
183055,0.834536,0.68551,0.752718,0.667291
2092,0.624534,0.798856,0.701021,0.564
181079,0.474155,0.906563,0.622649,0.890666
92059,0.281185,0.925778,0.431355,0.674166
108073,0.378183,0.939507,0.539285,1.01771
153077,0.51896,0.850745,0.644669,0.904583
23080,0.76188,0.846815,0.802105,0.89325
365025,0.630477,0.653569,0.641815,0.940958
