image,P,R,F1,ms
157036,0.329699,0.928649,0.48663,1.21063
187029,0.400099,0.853068,0.544719,0.774666
71046,0.604613,0.983613,0.748892,0.7805
299091,0.413433,0.402324,0.407803,0.515959
242078,0.820732,0.872999,0.846059,0.842167
232038,0.563636,0.943367,0.705659,0.792167
173036,0.29249,0.833921,0.433081,0.809792
198054,0.310446,0.997106,0.473476,1.08475
388016,0.8365,0.894975,0.86475,1.03575
292066,0.296201,0.887245,0.444132,0.920542
189011,0.638729,0.519793,0.573156,0.583167
59078,0.437464,0.960463,0.60113,1.15875
108041,0.295241,0.848494,0.438056,1.06533
66075,0.467531,0.845221,0.602044,0.668042
20008,0.420009,0.777466,0.545385,1.02775
370036,0.764747,0.92962,0.839162,0.975833
41025,0.281808,0.964881,0.436213,1.13508
207056,0.203612,0.997239,0.338177,1.19712
314016,0.383303,0.989539,0.552567,0.941042
188091,0.672331,0.983551,0.798694,0.539
56028,0.639336,0.976533,0.772752,1.13233
134008,0.22628,0.97487,0.367304,1.17333
153093,0.667571,0.921512,0.774252,0.909166
54005,0.360072,0.973873,0.525756,1.27358
65019,0.566656,0.947822,0.709273,0.784708
176039,0.191512,0.975569,0.320171,0.892959
187003,0.403244,0.941274,0.564609,1.09625
61086,0.397107,0.963372,0.562393,0.890458
147021,0.271679,0.917132,0.419185,0.6465
353013,0.31048,0.994088,0.473175,1.178
317080,0.465639,0.998174,0.635038,1.07363
28096,0.325703,0.861963,0.472766,0.895125
35010,0.694456,0.966569,0.808223,1.03792
151087,0.355974,0.893702,0.509148,1.06525
254033,0.233068,0.968142,0.375692,0.829416
189003,0.519511,0.956906,0.673419,0.93825
144067,0.306278,0.886917,0.45532,1.07062
33066,0.685288,0.818465,0.745979,0.795709
138032,0.295745,0.977892,0.454143,1.05471
15088,0.180897,0.863055,0.299103,0.74075
249061,0.507361,0.787135,0.617015,0.655333
68077,0.526244,0.942363,0.675351,1.06746
368078,0.580151,0.98159,0.729276,0.862333
187039,0.204046,0.987251,0.338194,1.22592
87065,0.375077,0.997963,0.545232,1.37596
216066,0.367427,0.981938,0.534756,1.17004
43083,0.506747,0.981824,0.668475,1.15517
372047,0.695277,0.978997,0.813098,0.878917
227046,0.46113,0.952372,0.621389,0.922
15004,0.558416,0.955243,0.704813,0.883375
236017,0.3879,0.969454,0.554095,1.42117
310007,0.425006,0.930039,0.583408,0.7865
198023,0.208906,0.871728,0.337041,0.992458
22093,0.537512,0.95931,0.68898,0.837417
106025,0.382195,0.41627,0.398505,0.721541
202012,0.364318,0.997132,0.533656,1.41279
159045,0.507231,0.988317,0.670396,1.21237
376020,0.369548,0.88926,0.52212,1.07987
124084,0.749305,0.974512,0.847197,1.10229
254054,0.274947,0.971495,0.428595,1.25446
25098,0.693827,0.9514,0.802451,0.966083
8049,0.689019,0.848708,0.760572,0.864125
104022,0.511388,0.889621,0.649448,1.10933
238011,0.986095,0.997488,0.991759,0.62475
285036,0.601701,0.861492,0.708534,0.804041
65132,0.345196,0.885147,0.49669,1.08333
326038,0.202859,0.993285,0.336911,1.17942
22090,0.789868,0.761576,0.775464,0.777541
159091,0.347887,0.918061,0.504573,1.12221
76002,0.492946,0.973492,0.654483,1.09458
227040,0.641346,0.848596,0.730557,0.974625
145053,0.534616,0.945928,0.683138,0.885708
374020,0.619492,0.885573,0.729012,0.878666
46076,0.594427,0.806257,0.684324,0.672209
100080,0.663458,0.303695,0.416664,0.921875
113016,0.408191,0.972002,0.574938,0.940208
134052,0.215461,0.666869,0.325693,1.24362
311068,0.216731,0.933062,0.351757,1.38454
239096,0.503129,0.740558,0.599181,0.950917
187071,0.532434,0.973156,0.68829,0.700375
16052,0.3853,0.937656,0.54617,1.12004
94079,0.184815,0.967293,0.310336,1.25788
311081,0.221295,0.978062,0.360926,1.29163
118035,0.927518,0.83355,0.878027,0.629584
130034,0.17874,0.995424,0.303061,1.31658
138078,0.762977,0.951762,0.846977,0.938459
35070,0.775103,0.955602,0.85594,0.755917
35058,0.401593,0.64114,0.493851,0.919334
260081,0.360767,0.902658,0.515502,1.14925
246053,0.603992,0.864722,0.711214,0.808667
26031,0.133534,0.939116,0.233821,1.30246
67079,0.681985,0.937785,0.789686,0.868958
164074,0.214924,0.9004,0.347015,1.18263
95006,0.277436,0.955255,0.429989,1.26279
27059,0.627858,0.95253,0.756844,1.18879
66039,0.305174,0.897344,0.455454,1.32088
112082,0.238571,0.916454,0.378589,1.19792
140075,0.505872,0.925308,0.654128,0.953917
106020,0.251919,0.969776,0.399944,1.02537
97017,0.661261,0.733327,0.695432,0.884583
302003,0.837762,0.883701,0.860118,0.966541
118020,0.595025,0.940471,0.72889,0.885625
365073,0.566384,0.989359,0.720372,1.11229
178054,0.146669,0.80168,0.247971,0.9505
216053,0.601533,0.929208,0.730299,0.853
268002,0.414828,0.899376,0.567776,0.904583
368016,0.40385,0.966667,0.569695,0.997208
117054,0.473633,0.893601,0.619117,0.975625
277095,0.44721,0.989333,0.615979,0.901625
274007,0.542749,0.964221,0.694546,1.45142
385028,0.6422,0.884834,0.744241,0.8775
48055,0.458257,0.799002,0.582454,1.06346
286092,0.932972,0.48791,0.640738,0.734209
23025,0.552324,0.888592,0.68122,0.882958
24004,0.6147,0.897118,0.72953,0.939583
323016,0.646415,0.938396,0.765509,1.03913
271008,0.713751,0.871859,0.784922,0.77025
376001,0.597095,0.969492,0.739032,0.967416
187083,0.458302,0.933288,0.614732,0.964333
161062,0.712227,0.710136,0.71118,0.876667
188005,0.413452,0.927252,0.5719,0.903125
100098,0.570594,0.987845,0.723363,1.19413
135037,0.730675,0.862971,0.791332,0.846292
309004,0.261022,0.994,0.413469,0.888167
169012,0.264361,0.834149,0.401483,1.06267
231015,0.56346,0.980054,0.715538,0.828667
166081,0.51278,0.910611,0.6561,1.10296
271031,0.65672,0.710526,0.682564,0.571291
216041,0.393629,0.776899,0.522516,1.16767
181018,0.495959,0.82538,0.619606,1.07321
163062,0.375565,0.931939,0.535377,0.997292
35091,0.435366,0.996688,0.606016,1.33763
198004,0.577585,0.736826,0.647559,0.855375
196015,0.494558,0.883593,0.634166,1.03733
172032,0.793906,0.664206,0.723288,0.700459
12003,0.469787,0.967846,0.632541,1.06367
147062,0.35363,0.972412,0.518648,1.27392
105053,0.560108,0.811877,0.662892,1.05121
43070,0.215483,1,0.354563,1.02913
65074,0.644216,0.84062,0.729428,0.940375
78019,0.595707,0.921229,0.723541,0.813166
140055,0.338546,0.976728,0.502811,1.13096
100075,0.393274,0.868126,0.541321,0.829
113009,0.516573,0.979177,0.676338,1.16792
155060,0.425337,0.960707,0.589626,1.19504
60079,0.66116,0.381818,0.484081,0.681084
23084,0.420553,0.923358,0.577897,0.818208
249087,0.320529,0.961222,0.480748,0.959416
183087,0.368995,0.921911,0.527042,0.953125
45077,0.259609,0.909291,0.403901,1.08312
22013,0.657221,0.987661,0.78925,0.933292
209070,0.586117,0.824188,0.685058,0.88825
55067,0.961047,0.440569,0.604171,0.423708
245051,0.720464,0.925022,0.810028,0.675333
239007,0.854438,0.633629,0.727651,0.734584
176019,0.352257,0.970553,0.516906,1.1955
8143,0.523137,0.999353,0.686767,1.02487
103041,0.365716,0.890224,0.518447,1.24304
145014,0.60383,0.909609,0.725829,0.775792
113044,0.341745,0.932839,0.500231,1.44358
374067,0.333346,0.741395,0.459908,0.932625
41004,0.464791,0.911007,0.615538,0.851209
109034,0.183849,0.890432,0.304772,1.48292
35008,0.751275,0.53202,0.622918,0.627875
